stress	time	resolution_bp	n	mean_delta24	mean_deltaCHH	pearson	spearman	directional_concordance	joint_universe_24nt_percent_change
Phosphate deficiency		100	1174885	-0.01566396413822888	-0.0002729210655349264	-0.000840102591744975	-0.0036131175472285037	0.27206492550334715	-8.880473314436122
Phosphate deficiency		500	235621	-0.04330367248974835	-0.0002901134212026216	-0.0019262146639780903	-0.0006068821031993991	0.14072175230560943	-2.1431927428531616
Drought		100	251130	-0.2177235795782245	0.012428440628054047	-0.057061631746018596	-0.06705268866964399	0.4614821009039143	-11.384120270402498
Drought		500	76825	-0.7194777141355038	0.009305073154652994	-0.07342634457464081	-0.19031765030572353	0.4043084933289945	-11.198089909347075
Heat	6h	100	1176661	0.042241834615635514	-0.004122154699690789	-0.00047004484156716733	-0.0007896754629481646	0.11478327232737381	32.3399526118477
Heat	12h	100	1176662	0.04202124371235537	-0.005875920848409775	-0.0005516267488004822	-0.003022642577417239	0.11338005306536626	32.40416465249931
Heat	24h	100	1176593	0.04218604068065703	-0.003992788425708954	0.0002609558888182294	0.0009086705466489214	0.11502703143737894	32.38801602917229
Heat	6h	500	235979	0.2109063778239513	-0.0041632461119815315	0.0007940057822067759	-0.0018718525896695285	0.19566571601710323	31.873812963127612
Heat	12h	500	235965	0.21087705562756676	-0.005904484782603148	-0.0006470150659801628	-0.004552219145134024	0.18930773631682665	31.869373149358026
Heat	24h	500	235970	0.21087473458737593	-0.003944874348498939	-0.0019220067515408191	0.00036737668883290547	0.19577488663813197	31.867649020629663
Pathogen	6h	100	42775	-1.6515452032817066	-0.010106285508939807	0.00011669986105729918	0.009835043186410052	0.377416715371128	-77.95787054232477
Pathogen	14h	100	42775	-0.6811883827954414	-0.010106285508939807	-0.003895976812503957	-0.008312187053430162	0.3615429573348919	-35.47873754175017
Pathogen	6h	500	37036	-2.739140160659898	-0.007790609562389716	0.0009570867189011203	0.01727606953969325	0.4447294524246679	-71.66633289363251
Pathogen	14h	500	37036	-0.4788392716604115	-0.007790609562389716	-0.005814014530360097	-0.020166516669013805	0.40077222162220544	-13.568661055853159
